,Date_,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,Return_MSFT
1,2022-01-04,319.464599609375,325.4750144685873,316.65843157459085,325.1157242107018,32674300,-0.01714717926685272
2,2022-01-05,307.2010192871094,316.6098902048438,306.8126302270797,316.4059615017749,40054300,-0.03838791633646077
3,2022-01-06,304.7735900878906,309.4537573925921,302.4529155197897,304.06475847821264,39646100,-0.00790176153989286
4,2022-01-07,304.9289245605469,307.3175455273489,301.0935120604903,305.0357189627148,32720000,0.0005096716963286507
5,2022-01-10,305.1522216796875,305.5891778942772,295.8501747506654,300.5109027560878,44289500,0.0007322923512829149
6,2022-01-11,305.8416442871094,307.42432897382355,300.899321615518,304.2880584070521,29386800,0.0022592744159848355
7,2022-01-12,309.0361633300781,314.0270530188489,307.88068590041127,310.3955694582875,34372200,0.010445010032609892
8,2022-01-13,295.9569396972656,311.5704332628309,295.1801616510571,311.1723248836896,45366000,-0.0423226314094598
9,2022-01-14,301.2003479003906,301.80235543631807,294.9374663908213,295.4229601626581,39846400,0.01771679423529826
10,2022-01-18,293.8693542480469,300.8119087883123,292.9857520873315,295.2481695047707,42333200,-0.02433926024138644
11,2022-01-19,294.5295715332031,304.8026340005805,293.9178744109828,297.4037153433391,45933900,0.002246635369127281
12,2022-01-20,292.849853515625,302.60826662386137,292.4032075358108,300.10313176155984,35380700,-0.005703053886352394
13,2022-01-21,287.44140625,295.28697160618094,287.033578493321,293.9081860566442,57984400,-0.018468328396607614
14,2022-01-24,287.7715148925781,288.4900360460694,268.0410449170108,283.7225142551913,85731500,0.0011484380308486308
15,2022-01-25,280.12017822265625,286.4315970589494,276.8965221990427,283.0622692025946,72848600,-0.026588235019640583
16,2022-01-26,288.1016845703125,299.5496351641995,284.5284577844545,299.05442207109365,90428900,0.028493150326757588
17,2022-01-27,291.1408996582031,298.38445839019573,289.28630990590625,293.8790916253967,53481300,0.010549105578550932
18,2022-01-28,299.3166198730469,299.5302383109327,285.907284705517,291.519591338495,49743700,0.02808166157500369
19,2022-01-31,301.95770263671875,303.31707920676604,297.4814348645573,299.98659920210355,46444500,0.00882370903691232
20,2022-02-01,299.8021545410156,301.61789669473416,296.27746465100137,301.4042782276972,40950400,-0.007138576286945808
21,2022-02-02,304.36578369140625,305.9776267633184,299.9186732455313,300.6469139907343,36636000,0.015222135936205472
22,2022-02-03,292.5099792480469,302.20044499578506,291.2573970979892,300.51090662551127,43730000,-0.038952487692834326
23,2022-02-04,297.0638427734375,299.8408520956284,291.2670476834465,291.50007514204174,35096500,0.015568233046603153
24,2022-02-07,292.2187194824219,298.908808395224,291.1991647600581,297.2872757560172,28533300,-0.016310040447133356
25,2022-02-08,295.72393798828125,296.694925446775,291.2477000280742,292.5099718712418,32421200,0.01199518809769562
26,2022-02-09,302.1810302734375,302.880142501978,298.47188031442045,300.8799104988018,31284700,0.02183486507410204
27,2022-02-10,293.607177734375,300.1516233945271,291.97592599753574,295.21902039060336,45386200,-0.02837323220224708
28,2022-02-11,286.4801940917969,295.4618295263202,285.68397713614587,294.3937372238847,39175600,-0.024273874016206398
29,2022-02-14,286.4412841796875,288.1502314930245,282.89718608152816,285.2469590051826,36359500,-0.00013582060090655546
30,2022-02-15,291.75262451171875,292.07303735866185,288.40270567819266,291.3059785446445,27058300,0.01854250984540129
31,2022-02-16,291.4120483398437,292.7450469485756,285.7492094226368,290.3125590659392,29982100,-0.0011673457006429189
32,2022-02-17,282.87890625,288.7849645691947,282.1686090616829,288.3568443041073,32461600,-0.029282049724630332
33,2022-02-18,280.1545104980469,285.92436510715385,278.5782629704892,285.13624134337505,34264000,-0.00963096113481643
34,2022-02-22,279.9502258300781,283.6670752272365,276.8171795869096,277.3036772663242,41736100,-0.0007291857182866179
35,2022-02-23,272.70135498046875,283.8227127228963,272.5359624242188,282.34374100984417,37811200,-0.025893427405231817
36,2022-02-24,286.6347045898437,287.1893190812472,264.1876941126844,265.1509797276121,56989700,0.05109380410072717
37,2022-02-25,289.2811584472656,289.5925239923929,283.77400285332004,287.1697757987993,32546700,0.009232845203475337
38,2022-02-28,290.7212219238281,291.06177615651615,285.0875718318237,286.36219307102203,34627500,0.0049780756005408655
39,2022-03-01,286.9849548339844,291.86938019669464,284.26055037516176,288.3957801007612,31217800,-0.012851717755997472
40,2022-03-02,292.0834655761719,293.3288983898888,285.768735492575,287.3838815829672,31873000,0.01776577711238181
41,2022-03-03,287.9287109375,294.94399699904244,286.1091852345869,294.7104876867767,27314500,-0.014224545817669298
42,2022-03-04,282.03240966796875,287.6758003493623,279.41507957083144,286.34280150971523,32356500,-0.020478337329864815
43,2022-03-07,271.378173828125,281.8670639510447,271.0084307934924,280.73838562712723,43157200,-0.0377766365659421
44,2022-03-08,268.40069580078125,276.2916715598199,262.70866870677713,270.2980183698139,48159500,-0.010971693063383636
45,2022-03-09,280.7090759277344,281.7793764366867,273.1975528468867,275.78572328000666,35204500,0.04585822734263312
46,2022-03-10,277.877685546875,278.8604201652107,273.0029702694113,275.37708084695583,30628000,-0.010086565144007964
47,2022-03-11,272.5067443847656,281.6918204908047,271.8840132688188,280.1836602719386,27209300,-0.019328436364147494
48,2022-03-14,268.97479248046875,277.69282106161535,268.3715402141121,272.7694677796933,30660700,-0.012960970607428068
49,2022-03-15,279.3955383300781,280.04745811524,271.2029361781825,272.77918349658523,34245100,0.03874246264309722
50,2022-03-16,286.44012451171875,286.615256553896,275.5523038210931,281.3026803934849,37826300,0.02521366741840425
51,2022-03-17,287.24761962890625,287.6270722839405,281.5555922557569,285.36974617952256,30816600,0.0028190712406790386
52,2022-03-18,292.3169250488281,292.87153940935485,284.82488022884814,287.3935719777553,43390600,0.017647858758484736
53,2022-03-21,291.08123779296875,292.03478374650234,286.93626887864554,290.8185397874597,28351200,-0.0042272176188667965
54,2022-03-22,295.84893798828125,296.76355591312955,290.70178472073417,291.70396865624343,27599700,0.01637927690380203
55,2022-03-23,291.40234375,295.04136624934927,289.6801528126932,292.3948179286676,25715400,-0.015029948285490868
56,2022-03-24,295.8879089355469,295.98521441485013,290.2639966759924,291.0618600354305,24484500,0.015393030570114874
57,2022-03-25,295.4791564941406,297.25001477240545,291.2077232772877,296.9873167746891,22566500,-0.001381443543525429
58,2022-03-28,302.30963134765625,302.4069071163755,296.1116267591082,296.1116267591082,29578200,0.02311660468562038
59,2022-03-29,306.8924560546875,307.2913876972963,300.7041904069108,305.43296308129663,30393400,0.015159373806919785
60,2022-03-30,305.3842163085937,307.41780212109006,303.1657887520506,305.2869405570279,28163600,-0.00491455464719881
61,2022-03-31,299.984130859375,306.6297043298301,299.5754895267012,305.42317015815905,33422100,-0.017682922563888703
62,2022-04-01,301.0641784667969,301.7549967231003,297.2889524574944,301.0155108922393,27110500,0.003600349139562198
63,2022-04-04,306.4643249511719,306.6005288499604,301.3463602694202,301.71610322728264,24289600,0.017936861541867355
64,2022-04-05,302.4847717285156,306.3670133210519,301.5020370122259,304.8102149635358,23156700,-0.012985371864377093
65,2022-04-06,291.4120483398437,298.709511987753,288.697383548654,296.9483931362007,40110400,-0.036605887051430974
66,2022-04-07,293.2315979003906,295.4500260654248,288.3471720326163,288.6487982094901,31411200,0.0062439064236115005
