,Date_,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,Return_AAPL
1,2022-01-04,176.3783416748047,179.55845745447346,175.8090608575143,179.25419002967348,99310400,-0.012691708942183633
2,2022-01-05,171.68670654296875,176.83966343060845,171.41188337376713,176.29001709220518,94537600,-0.026599836960062184
3,2022-01-06,168.82069396972656,172.05969865170314,168.46734773211566,169.50775193820877,96904000,-0.016693270148582573
4,2022-01-07,168.98753356933594,170.9211204367095,167.86860642072668,169.69422597653536,86709100,0.0009882650976384966
5,2022-01-10,169.00718688964844,169.31145435336728,165.06148967296951,165.95467253383114,106765600,0.00011630041516896839
6,2022-01-11,171.84375,171.9418925722171,167.66249900972133,169.13477238363146,76138300,0.016783683360185542
7,2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200,0.00257015835265495
8,2022-01-13,169.00718688964844,173.35529415174287,168.6145716326397,172.53082457713552,84505800,-0.01902789477222222
9,2022-01-14,169.8708953857422,170.56776300627916,167.9274839054903,168.1728627813742,80440800,0.005110483832014179
10,2022-01-18,166.66136169433594,169.3507050116675,166.2785711868531,168.33974508224512,90956700,-0.0188939587568433
11,2022-01-19,163.15731811523438,167.9176743026287,162.87268520870165,166.85763576058818,94815000,-0.021024930694662936
12,2022-01-20,161.4691162109375,166.54354975921092,161.14521428529383,163.8934607946357,91420500,-0.010347080497514316
13,2022-01-21,159.40792846679688,163.25546724898456,159.29996116779537,161.38076913756592,122848900,-0.01276521351270643
14,2022-01-24,158.63255310058594,159.2999915243486,151.8404666623007,157.06213706108227,162294600,-0.004864095366325816
15,2022-01-25,156.82655334472656,159.7514654895658,154.1175758189767,156.04133790955973,115798400,-0.011384799150992775
16,2022-01-26,156.7382354736328,161.3513560017588,154.90280601323298,160.47780767829823,108275300,-0.0005631563610252188
17,2022-01-27,156.2769012451172,160.8114981245685,155.35427426622283,159.44719215998208,121954600,-0.002943341981116232
18,2022-01-28,167.18153381347656,167.20116831659928,159.79072343360525,162.64693708008207,179935700,0.06977763496382416
19,2022-01-31,171.54930114746094,171.76523578487254,166.37670956776643,167.0147037152971,115541600,0.02612589581130087
20,2022-02-01,171.38246154785156,171.608205971386,169.1249723822828,170.7935461214453,86213900,-0.0009725460756377924
