,Date_,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL
0,2022-01-03,144.30160522460938,145.15701265332763,143.02918515577247,144.36479494039722,28646000
1,2022-01-04,143.71241760253906,145.78798930459803,143.03266881925126,144.70416653668696,28400000
2,2022-01-05,137.1194305419922,143.81193646128006,137.03285410456272,143.7328164404052,54618000
3,2022-01-06,137.09205627441406,139.27412860315894,135.90871848698256,136.34662727318383,37348000
4,2022-01-07,136.3650360107422,137.78972784408742,135.1204826896513,137.48816060615565,29760000
5,2022-01-10,138.00967407226562,138.15896945033379,132.53087842354833,134.43527149606194,44408000
6,2022-01-11,139.07110595703125,139.54883297337483,136.0420998146872,137.35034411747029,28730000
7,2022-01-12,140.75753784179688,141.9294404967946,140.02504742905134,140.4783702161075,26108000
8,2022-01-13,137.92758178710938,142.1702980929826,137.75041975538085,140.86651857043935,31436000
9,2022-01-14,138.81683349609375,140.07233622287117,136.34664851003265,136.42675564025197,29662000
10,2022-01-18,135.35089111328125,136.47899680734477,134.79405929684148,135.52705085012096,34872000
11,2022-01-19,134.4735870361328,137.30306172956688,134.37306968151069,135.87388991456638,28648000
12,2022-01-20,132.67318725585938,136.97115074107518,132.3318170208066,135.60169102059876,29908000
13,2022-01-21,129.73126220703125,134.22377601264574,129.46752373899022,131.96259868346377,55652000
14,2022-01-24,130.18161010742188,130.5787136535352,123.90760490884027,125.37856914011597,76622000
15,2022-01-25,126.33102416992188,128.7833046294374,125.89859753096928,128.12744363968903,46960000
16,2022-01-26,128.6180877685547,132.3671620019992,126.53703372214112,130.49511541961544,49130000
17,2022-01-27,128.39117431640625,132.02131030726912,128.31900956615908,130.6792312241268,31950000
18,2022-01-28,132.71649169921875,132.72197391207828,127.87364760924652,129.04205751284695,34362000
19,2022-01-31,134.65969848632812,134.82840181492318,131.58042613665086,133.5236351765011,39986000
20,2022-02-01,136.9890594482422,137.13735254168026,133.72914748544642,136.93979546512767,68644000
21,2022-02-02,147.29579162597656,150.82541035596324,144.83008666091592,150.5303275907362,123200000
22,2022-02-03,142.40916442871094,148.96283923393528,141.98668471446516,145.0122286925093,71518000
23,2022-02-04,142.61117553710938,144.18564871656986,139.84639407354533,142.76195915753863,57998000
24,2022-02-07,138.53866577148438,143.56363789927013,138.23908788884378,143.56363789927013,54974000
25,2022-02-08,138.7357177734375,139.33385604729077,136.36207147851567,138.36499262195844,54284000
26,2022-02-09,140.91827392578125,141.8463472422032,139.51996039462585,140.2927701568597,40144000
27,2022-02-10,137.96041870117188,140.81129088948327,137.30057895120314,139.03877453098843,39330000
28,2022-02-11,133.64356994628906,138.4943718586001,132.7652616913773,137.94053165428735,39958000
29,2022-02-14,134.88113403320312,135.65145321102975,132.62243215848918,132.62243215848918,34302000
30,2022-02-15,135.95851135253906,137.45137423583503,135.17525340849045,136.91592448402298,26680000
