,Date_,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
0,2022-01-03,178.64566040039062,179.4995892112378,174.42515503160624,174.5429321185891,104487900
1,2022-01-04,176.3783416748047,179.55845745447346,175.8090608575143,179.25419002967348,99310400
2,2022-01-05,171.68670654296875,176.83966343060843,171.41188337376713,176.29001709220518,94537600
3,2022-01-06,168.82069396972656,172.05969865170314,168.46734773211566,169.50775193820877,96904000
4,2022-01-07,168.98753356933594,170.9211204367095,167.86860642072668,169.69422597653536,86709100
5,2022-01-10,169.00718688964844,169.31145435336728,165.06148967296951,165.95467253383114,106765600
6,2022-01-11,171.84375,171.9418925722171,167.66249900972133,169.13477238363146,76138300
7,2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200
8,2022-01-13,169.00718688964844,173.35529415174287,168.6145716326397,172.53082457713552,84505800
9,2022-01-14,169.8708953857422,170.56776300627916,167.9274839054903,168.1728627813742,80440800
10,2022-01-18,166.66136169433594,169.3507050116675,166.2785711868531,168.33974508224512,90956700
11,2022-01-19,163.15731811523438,167.9176743026287,162.87268520870163,166.85763576058818,94815000
12,2022-01-20,161.4691162109375,166.54354975921092,161.14521428529383,163.8934607946357,91420500
13,2022-01-21,159.40792846679688,163.25546724898456,159.29996116779535,161.38076913756592,122848900
14,2022-01-24,158.63255310058594,159.2999915243486,151.8404666623007,157.06213706108227,162294600
15,2022-01-25,156.82655334472656,159.7514654895658,154.1175758189767,156.04133790955973,115798400
16,2022-01-26,156.7382354736328,161.3513560017588,154.90280601323298,160.47780767829823,108275300
17,2022-01-27,156.2769012451172,160.8114981245685,155.35427426622283,159.44719215998208,121954600
18,2022-01-28,167.18153381347656,167.20116831659928,159.79072343360525,162.64693708008207,179935700
19,2022-01-31,171.54930114746094,171.76523578487254,166.37670956776643,167.0147037152971,115541600
20,2022-02-01,171.38246154785156,171.608205971386,169.1249723822828,170.7935461214453,86213900
21,2022-02-02,172.58970642089844,172.62897543344508,170.1261075578704,171.51985796847407,84914300
22,2022-02-03,169.7040252685547,172.9822984461671,168.93844437078735,171.25482156772748,89418100
23,2022-02-04,169.41903686523438,171.09957339010344,167.73850034036528,168.72126637937606,82465400
24,2022-02-07,168.70166015625,170.95218829836574,168.00388951197547,169.8809766716415,77251200
25,2022-02-08,171.81700134277344,172.32804392038554,168.4755875609354,168.7704203940124,74829200
26,2022-02-09,173.24200439453125,173.60562304759242,171.88578239754793,173.01597239364082,71285000
27,2022-02-10,169.1536865234375,172.45578102776864,168.59351767675065,171.13887812913805,90865900
28,2022-02-11,165.73365783691406,170.0971412814251,165.1439922378864,169.3600667805501,98670700
29,2022-02-14,165.9695281982422,166.65746140454794,163.68950386212114,164.4855419291192,86185500
30,2022-02-15,169.81210327148438,169.96934940522857,167.31588463051588,168.02347723654816,62527400
31,2022-02-16,169.5762939453125,170.35267256794222,167.11937868964532,168.8883606728898,61177400
32,2022-02-17,165.9695281982422,168.9473080022522,165.56659053604196,168.08246911671398,69589300
33,2022-02-18,164.41677856445312,167.60093126737578,163.32590754694263,166.89335344125396,82772700
34,2022-02-22,161.4881134033203,163.81726398261975,159.35549802549073,162.13672755479107,91162800
35,2022-02-23,157.31137084960938,163.28657531432245,156.9968785115613,162.68708741626082,90009200
36,2022-02-24,159.9353485107422,160.04345337346268,149.3804359903009,149.9504420850254,141147500
37,2022-02-25,162.00901794433594,162.27435402769208,158.09759757776467,161.0164144612621,91974200
38,2022-02-28,162.2743377685547,162.569170605232,159.63069449285575,160.249841950296,95056600
39,2022-03-01,160.3874053955078,163.72881873455478,159.1786074354802,161.86155436972356,83474400
40,2022-03-02,163.6894989013672,164.47571468295504,160.14171312084568,161.55689852854007,79724800
41,2022-03-03,163.3651885986328,165.99900928641364,162.69691491410015,165.5665898454482,76678400
42,2022-03-04,160.35792541503906,162.69691327903544,159.30637359945834,161.65518372489828,83737200
43,2022-03-07,156.5546417236328,162.17606497919274,156.29911294194886,160.54466966467405,96418800
44,2022-03-08,154.72669982910156,160.0729499038518,153.1149639973743,156.08292186895505,131148300
45,2022-03-09,160.1417236328125,160.59380261054181,156.66273844037977,158.69705635061237,91454900
46,2022-03-10,155.78807067871094,157.6258383019349,153.29183663849042,157.43911036241218,105342000
47,2022-03-11,152.0634002685547,156.5349891936971,151.83736825574178,156.19101504721644,96970100
48,2022-03-14,148.02420043945312,151.4638812144724,147.51317294986788,148.8398979655987,108732100
49,2022-03-15,152.41720581054688,152.88894438184133,147.78838542286357,148.29941304803273,92964300
50,2022-03-16,156.8396453857422,157.24258310394316,151.79806526213048,154.34342597712845,102300200
